Private Industries,2019_Q1,2019_Q2,2019_Q3,2019_Q4,2020_Q1,2020_Q2,2020_Q3,2020_Q4
"Agriculture, forestry, fishing, and hunting",-0.11,0.08,0.03,0.03,0.22,-0.31,0.38,0.05
Mining,0.49,0.12,0.16,-0.1,-0.03,-0.41,-0.11,0.06
Utilities,-0.08,0.25,-0.12,0.34,0.12,-0.12,0.02,-0.15
Construction,0.13,-0.12,0,0,0.02,-1.12,1.21,0.49
Durable goods,0.01,-0.08,0,0.15,-0.36,-2.84,4.13,0.42
Nondurable goods,-0.62,0.12,0.53,-0.15,-0.34,-1.25,1.85,0.01
Wholesale trade,0.33,-0.45,0.06,0.01,-0.01,-2.09,2.5,0.17
Retail trade,0.48,-0.04,0.21,0.14,-0.39,-1.75,2.58,0.08
Transportation and warehousing,0.01,0.14,0.22,0.07,-0.32,-2.56,1.58,0.09
Information,0.4,0.53,0.37,0.38,-0.15,-0.29,1.17,0.17
Finance and insurance,0.9,-0.1,-0.37,0.59,-1.04,1.01,1.2,1.02
Real estate and rental and leasing,0.16,0.24,0.29,0.15,-0.08,-1.26,1.23,0.16
"Professional, scientific, and technical services",0.51,0.22,0.53,0.24,-0.08,-2.06,1.76,0.54
Management of companies and enterprises,0.24,0.11,0.02,0.08,-0.07,-0.15,0.16,0.16
Administrative and waste management services,-0.04,-0.01,0.09,0.07,-0.09,-1.63,1.43,0.6
Educational services,0,0.04,0.04,0.04,-0.04,-0.54,0.25,-0.14
Health care and social assistance,0.32,0.08,0.13,0.15,-0.55,-4,4.74,0.61
"Arts, entertainment, and recreation",0.02,0,0.09,-0.02,-0.32,-2.2,0.91,0.27
Accommodation and food services,-0.1,0.02,0.18,-0.06,-0.91,-4.38,3.88,-0.19
"Other services, except government",0,-0.03,0.05,-0.04,-0.3,-1.51,1.14,0.04